id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
6107;6110;0,20;25,0704;27 09:23;4;выигрыш
6138;6144;0,20;25,2733;27 09:35;7;выигрыш
6233;6233;0,20;26,1073;27 10:07;1;выигрыш
6283;6289;0,20;26,3102;27 10:26;7;выигрыш
6338;6345;0,20;26,5184;27 10:42;8;выигрыш
6488;6491;0,20;26,7524;27 11:37;4;выигрыш
6610;6611;0,20;27,3864;27 12:22;2;выигрыш
6636;6641;0,20;27,5974;27 12:31;6;выигрыш
6744;6745;0,20;28,2314;27 13:10;2;выигрыш
6768;6770;0,20;28,6654;27 13:20;3;выигрыш
6785;6787;0,20;29,0994;27 13:26;3;выигрыш
6823;6829;0,20;29,3023;27 13:38;7;выигрыш
6877;6877;0,20;30,1363;27 13:53;1;выигрыш
6923;6934;0,20;30,3516;27 14:14;12;выигрыш
7006;7011;0,20;30,5626;27 14:42;6;выигрыш
7232;7232;0,20;31,3966;27 16:04;1;выигрыш
7406;7414;0,20;31,6035;27 17:07;9;выигрыш
7458;7472;0,20;31,8271;27 17:25;15;выигрыш
7507;7510;0,20;32,0611;27 17:38;4;выигрыш
7626;7629;0,20;32,2951;27 18:23;4;выигрыш
7843;7846;0,20;32,5291;27 19:45;4;выигрыш
7915;7922;0,20;32,7373;27 20:09;8;выигрыш
7960;7962;0,20;33,1713;27 20:21;3;выигрыш
8055;8059;0,20;33,3721;27 20:55;5;выигрыш
8316;8316;0,20;34,2061;27 22:32;1;выигрыш
8404;8420;0,20;34,4401;27 23:08;17;выигрыш
8475;8476;0,20;35,0741;27 23:26;2;выигрыш
8491;8492;0,20;35,7081;27 23:30;2;выигрыш
8554;8555;0,20;36,3421;27 23:54;2;выигрыш
8743;8745;0,20;36,7761;28 00:58;3;выигрыш
9067;9082;0,20;37,0047;28 02:54;16;выигрыш
9120;9120;0,20;37,8387;28 03:05;1;выигрыш
9239;9244;0,20;38,0497;28 03:48;6;выигрыш
9295;9295;0,20;38,8837;28 04:06;1;выигрыш
9364;9365;0,20;39,5177;28 04:33;2;выигрыш
9431;9431;0,20;40,3517;28 04:54;1;выигрыш
9446;9460;0,20;40,5753;28 05:01;15;выигрыш
9660;9670;0,20;40,7949;28 06:13;11;выигрыш
9792;9798;0,20;40,9978;28 06:56;7;выигрыш
9875;9878;0,20;41,2318;28 07:26;4;выигрыш
9948;9951;0,20;41,4658;28 07:51;4;выигрыш
10002;10002;0,20;42,2998;28 08:09;1;выигрыш
