id;начальная ставка;депозит после выигрыша;Время;порядковый номер выигрышного шага
7921;0,69;70,8360;27 20:07;1
8023;0,70;71,5480;27 20:43;3
8201;0,71;73,2520;27 21:49;1
8420;0,73;75,0040;27 23:08;1
8476;0,75;76,8040;27 23:26;1
8555;0,76;77,5780;27 23:54;6
8912;0,77;79,4260;28 01:59;1
8986;0,79;80,2220;28 02:23;3
9097;0,80;82,1420;28 02:59;1
9120;0,82;83,2900;28 03:05;2
9172;0,83;84,4520;28 03:23;2
9244;0,84;85,3080;28 03:48;7
9295;0,85;86,4980;28 04:06;2
9365;0,86;87,3700;28 04:33;3
9460;0,87;88,2520;28 05:01;8
9502;0,88;89,1320;28 05:16;3
9562;0,89;91,2680;28 05:37;1
9670;0,91;93,4520;28 06:13;1
9747;0,93;94,4000;28 06:41;3
9770;0,94;96,6560;28 06:50;1
