id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат;депозит до цикла;полный стоп;3 стопа;3 стопа % депозита
67845;67847;3,02;312,5380;11 18:59;3;выигрыш;306,1356;66,17;198,51;64,8438
68137;68137;3,09;325,2688;11 20:39;1;выигрыш;312,5380;67,71;203,13;64,9937
68340;68340;3,21;338,4940;11 21:52;1;выигрыш;325,2688;70,33;210,99;64,8664
68544;68550;3,34;341,8664;11 23:03;7;выигрыш;338,4940;73,18;219,54;64,8579
68869;68872;3,38;345,6520;12 00:56;4;выигрыш;341,8664;74,03;222,09;64,9640
69573;69581;3,41;349,0776;12 05:03;9;выигрыш;345,6520;74,70;224,10;64,8340
70125;70131;3,45;352,5340;12 08:14;7;выигрыш;349,0776;75,57;226,71;64,9454
70289;70294;3,48;356,0140;12 09:08;6;выигрыш;352,5340;76,22;228,66;64,8618
71391;71391;3,51;370,4752;12 15:41;1;выигрыш;356,0140;76,89;230,67;64,7924
72159;72160;3,66;381,8944;12 20:23;2;выигрыш;370,4752;80,20;240,60;64,9436
72814;72817;3,77;386,1168;13 00:14;4;выигрыш;381,8944;82,57;247,71;64,8635
73144;73151;3,81;389,9324;13 02:05;8;выигрыш;386,1168;83,46;250,38;64,8457
73341;73348;3,85;393,8200;13 03:13;8;выигрыш;389,9324;84,34;253,02;64,8882
73585;73590;3,89;397,7144;13 04:39;6;выигрыш;393,8200;85,22;255,66;64,9180
74252;74255;3,93;402,1160;13 08:38;4;выигрыш;397,7144;86,06;258,18;64,9159
74312;74312;3,97;418,4724;13 08:59;1;выигрыш;402,1160;86,94;260,82;64,8619
74478;74481;4,13;423,0980;13 09:58;4;выигрыш;418,4724;90,48;271,44;64,8645
74652;74653;4,18;436,1396;13 11:01;2;выигрыш;423,0980;91,56;274,68;64,9211
75058;75068;4,31;341,7096;13 13:24;11;стоп;436,1396;94,43;283,29;64,9540
75509;75510;3,38;352,2552;13 16:06;2;выигрыш;341,7096;74,03;222,09;64,9938
76038;76039;3,48;363,1128;13 19:20;2;выигрыш;352,2552;76,22;228,66;64,9132
76233;76233;3,59;377,9036;13 20:25;1;выигрыш;363,1128;78,65;235,95;64,9798
76386;76387;3,73;389,5412;13 21:21;2;выигрыш;377,9036;81,71;245,13;64,8657
76934;76934;3,85;405,4032;14 00:21;1;выигрыш;389,5412;84,34;253,02;64,9533
76970;76970;4,01;421,9244;14 00:32;1;выигрыш;405,4032;87,83;263,49;64,9946
77151;77156;4,17;426,1304;14 01:36;6;выигрыш;421,9244;91,39;274,17;64,9808
